dialog_id,start_time,end_time,filename,transcript,label
OP0H0j4pCOg,39.12,39.61,OP0H0j4pCOg_39.12326232_39.61001272,Uhh,neutral
0SEGAK-wRLs,478.55,483.34,0SEGAK-wRLs_478.55438024_483.342,don't forget tickets for the kings jester are available on the hasan minhaj dot com,neutral
4HrOmh_rTcU,119.8,125.51,4HrOmh_rTcU_119.804_125.508,when I step outside myself and I look in to myself you know,empathetic
jsLUidiYm0w,5.32,6.09,jsLUidiYm0w_5.31513847_6.09250681,uh,neutral
b6yRYRw1OWk,5.96,7.26,b6yRYRw1OWk_5.965_7.264,got you some stuff,empathetic
eq3-F_738gA,29.31,31.37,eq3-F_738gA_29.3112348_31.36765771,"Look, I know it sounds...harsh",neutral
dGIGG6QLjLg,31.05,31.71,dGIGG6QLjLg_31.04594422_31.71326833,I don't know,neutral
zwH3cZy4hIc,41.53,43.38,zwH3cZy4hIc_41.52565436_43.377,we just talked about the details,empathetic
yQ1IA117gKE,618.02,619.52,yQ1IA117gKE_618.01832243_619.51836735,I have 60 on me.,neutral
OP0H0j4pCOg,111.5,112.28,OP0H0j4pCOg_111.49585205_112.281714,No I'm not going to...,neutral
k_OxtAg4-u8,592.71,594.48,k_OxtAg4-u8_592.70911508_594.47544218,okay welcome back,neutral
yQ1IA117gKE,44.28,46.18,yQ1IA117gKE_44.2844627_46.17854271," It's been about three years, Your Honor.",neutral
e4aHb_GTRVo,884.38,888.58,e4aHb_GTRVo_884.377_888.579,but that doesn't work for other people other people need to know that somebody's been in the trenches too,empathetic
0SEGAK-wRLs,314.77,315.73,0SEGAK-wRLs_314.76995523_315.73021046,they look awkward and weird,neutral
jsLUidiYm0w,87.48,87.9,jsLUidiYm0w_87.48458344_87.89727073,uh huh,neutral
ZqJJzeo_t5Q,908.5,916.4,ZqJJzeo_t5Q_908.49815261_916.405,so this American Dream is not what brings us success,empathetic
-kfUE41-JFw,138.68,141.72,-kfUE41-JFw_138.68461278_141.724,It isn't wholly our fault in the here and now.,empathetic
4HrOmh_rTcU,107.18,110.4,4HrOmh_rTcU_107.182_110.405,I think your old man and my own man should get together and go bowling.,empathetic
vt2NjqXKzyA,2282.1,2289.67,vt2NjqXKzyA_2282.10189141_2289.67192527,it feels like a big a big weight that's holding me down at the moment,empathetic
ZqJJzeo_t5Q,1287.35,1288.95,ZqJJzeo_t5Q_1287.35067677_1288.95178866,nice talking with you,empathetic
Itp21tly8nM,27.62,29.78,Itp21tly8nM_27.61785488_29.78411641,so what exactly is empathy,neutral
PDHUNKuC9dM,167.82,168.89,PDHUNKuC9dM_167.81774403_168.89336514,thank you for keeping your,neutral
ZqJJzeo_t5Q,828.22,831.42,ZqJJzeo_t5Q_828.217_831.423,this new spirit so how is this new spirit manifesting,empathetic
-kfUE41-JFw,182.89,185.7,-kfUE41-JFw_182.8866736_185.7009639,Luck is a genuine feature of existence,empathetic
u9h-ysSUDqc,28.55,30.79,u9h-ysSUDqc_28.54542108_30.79399716,uh and it could be a cycle,neutral
jsLUidiYm0w,103.86,104.23,jsLUidiYm0w_103.85687845_104.22566283,i know,neutral
ZqJJzeo_t5Q,777.07,778.84,ZqJJzeo_t5Q_777.06808742_778.84159273,and now you you cut it off,empathetic
zwH3cZy4hIc,29.81,30.72,zwH3cZy4hIc_29.81_30.721,I had a thought,neutral
Le13by2WM70,67.79,67.95,Le13by2WM70_67.78798311_67.94603356,Yeah,neutral
Itp21tly8nM,110.17,115.8,Itp21tly8nM_110.16687075_115.80210884,or you could do something nice for Susie like offer to help put up posters around the neighborhood,neutral
zwH3cZy4hIc,77.67,82.22,zwH3cZy4hIc_77.6717803_82.21583704,I believe that I went over this incident with you too fast,empathetic
yQ1IA117gKE,7.91,13.69,yQ1IA117gKE_7.906_13.69417319,"Tristan Fields. Miss Fields, you have two registrations. You wanna get in front of the mic, please?",neutral
yQ1IA117gKE,607.91,609.49,yQ1IA117gKE_607.90975057_609.49002268,I'm so sorry for crying.,empathetic
-kfUE41-JFw,43.39,49.43,-kfUE41-JFw_43.38769129_49.42540377,We need to carve out time for an emotional state of which many of us are profoundly suspicious.,empathetic
Itp21tly8nM,232.36,241.22,Itp21tly8nM_232.36_241.21604397,"four, stand up for others even if there's a situation that has nothing to do with you there are still ways for you to be helpful",neutral
OP0H0j4pCOg,56.85,58.61,OP0H0j4pCOg_56.85215588_58.60806576,Wait did you say it lasts five hours?,neutral
EmJWrU73A18,130.93,132.98,EmJWrU73A18_130.92702681_132.97729235,Where the spirit hits and everybody has it?,neutral
yQ1IA117gKE,518.97,520.0,yQ1IA117gKE_518.96730064_519.99648526,I'm sorry.,empathetic
eq3-F_738gA,41.92,45.52,eq3-F_738gA_41.91691851_45.52425138,You're getting drunk on watered down vodka cranberries like a 14 year old girl,neutral
u9h-ysSUDqc,71.07,72.31,u9h-ysSUDqc_71.06594032_72.30839246,That's a nice idea,neutral
PDHUNKuC9dM,195.13,196.15,PDHUNKuC9dM_195.13434079_196.14849784,laughter,neutral
e4aHb_GTRVo,666.59,669.19,e4aHb_GTRVo_666.588_669.187,and because of that they encouraged me to keep going and I did,empathetic
zA4jB0FBxQw,32.23,37.95,zA4jB0FBxQw_32.22714736_37.95179877,I was on a whirlwind by that point in time i was going everywhere it was that record was so huge,neutral
OP0H0j4pCOg,95.1,95.7,OP0H0j4pCOg_95.0990116_95.70048137,I don't need that,neutral
dGIGG6QLjLg,130.06,130.43,dGIGG6QLjLg_130.06055521_130.43372988,so what?,neutral
Itp21tly8nM,159.47,164.48,Itp21tly8nM_159.47277637_164.47634912,you can watch people's faces and body language to get an idea of how they might be feeling,empathetic
yQ1IA117gKE,521.14,524.86,yQ1IA117gKE_521.13787957_524.85613203,"I know it's not that big, but it's me, it's me. I just...",empathetic
vt2NjqXKzyA,1555.34,1555.61,vt2NjqXKzyA_1555.343_1555.613,no,empathetic
Le13by2WM70,48.53,49.66,Le13by2WM70_48.52836008_49.65666467,Ha ha ha ha ha ha ha,neutral
vt2NjqXKzyA,3065.37,3090.62,vt2NjqXKzyA_3065.36747132_3090.62071232,i think fundamentally though it does rest on this core belief in an individual's capacity for self-direction and and the conditions that need to be in place for for a client to confront maybe those challenging difficult aspects in him or herself and and bring about change,neutral
ZqJJzeo_t5Q,416.1,421.82,ZqJJzeo_t5Q_416.10144251_421.81842243,so you talked about the bad spirits you talked about being in jail,empathetic
zA4jB0FBxQw,181.46,181.89,zA4jB0FBxQw_181.46134989_181.89324263,yeah,neutral
yQ1IA117gKE,623.03,625.88,yQ1IA117gKE_623.033_625.88222222,"I'm not gonna take the $60 from you, you got a baby, so.",empathetic
ZqJJzeo_t5Q,136.77,141.03,ZqJJzeo_t5Q_136.77179114_141.02576438,so how should we frame this session,empathetic
dGIGG6QLjLg,158.75,159.85,dGIGG6QLjLg_158.74659953_159.85295268,what you really wanted,neutral
yQ1IA117gKE,555.0,555.9,yQ1IA117gKE_555.00375354_555.9014621,I'm so sorry.,empathetic
Le13by2WM70,36.83,37.21,Le13by2WM70_36.8311163_37.21307155,What?,neutral
EmJWrU73A18,51.69,53.0,EmJWrU73A18_51.69002438_53.00272116,At that point in time what I thought,neutral
jsLUidiYm0w,13.78,14.02,jsLUidiYm0w_13.77855382_14.02001978,oh,neutral
Itp21tly8nM,187.67,193.05,Itp21tly8nM_187.67145125_193.04742873,ask yourself how do I think my words or actions are going to make this other person feel,empathetic
zwH3cZy4hIc,196.69,197.84,zwH3cZy4hIc_196.687_197.835,you don't have to hide,empathetic
dGIGG6QLjLg,188.9,189.62,dGIGG6QLjLg_188.89571411_189.616,I have to go,neutral
yQ1IA117gKE,98.69,99.99,yQ1IA117gKE_98.6942253_99.993,Do you work?,neutral
64s5r-Fu5E0,54.35,55.5,64s5r-Fu5E0_54.35464937_55.50051512,I didn't make the team,neutral
EmJWrU73A18,30.65,30.78,EmJWrU73A18_30.65143884_30.77875726,Yep,neutral
PDHUNKuC9dM,15.75,16.85,PDHUNKuC9dM_15.74771574_16.84753398,are lousy at it,neutral
0SEGAK-wRLs,307.96,309.05,0SEGAK-wRLs_307.96360499_309.0518344,okay yes that's true,neutral
OP0H0j4pCOg,68.03,68.95,OP0H0j4pCOg_68.02604924_68.94801019,Okay fine,neutral
e4aHb_GTRVo,918.5,930.43,e4aHb_GTRVo_918.498_930.429,rather than just targeting individuals we need to target relationships we need to teach couples families classrooms communities corporations companies we need to teach them how to create a culture of empathy,empathetic
vt2NjqXKzyA,429.68,430.07,vt2NjqXKzyA_429.68_430.07378866,yeah,empathetic
Le13by2WM70,96.9,97.77,Le13by2WM70_96.89656171_97.77461496,"Oh, hey",neutral
yQ1IA117gKE,672.78,673.41,yQ1IA117gKE_672.77992906_673.40609977,I'm trying.,empathetic
-kfUE41-JFw,231.64,233.41,-kfUE41-JFw_231.635_233.41097747,It seems it will never end,empathetic
ZqJJzeo_t5Q,1135.25,1135.54,ZqJJzeo_t5Q_1135.24917476_1135.53960902,yeah,empathetic
u9h-ysSUDqc,72.85,73.76,u9h-ysSUDqc_72.85278845_73.75718824,you like it?,empathetic
4md_A059JRc,103.67,113.93,4md_A059JRc_103.672_113.932,it'll take the work of organizations like kids the generosity of corporations the charity of religious groups and even a renewed sense of responsibility among families,neutral
vt2NjqXKzyA,2165.49,2171.0,vt2NjqXKzyA_2165.49122702_2171.00366928,well we've kind of talked about it and recognized it as this part,empathetic
eq3-F_738gA,1.68,2.5,eq3-F_738gA_1.68442387_2.49600917,David Lindhagen,neutral
_bqhVqTuFO4,112.14,117.0,_bqhVqTuFO4_112.143_117.003,"Well, I do seem remember doing something for you this morning without you asking. ",neutral
VQ440xOiyho,123.71,124.25,VQ440xOiyho_123.71208697_124.24770238,But where?,neutral
yQ1IA117gKE,50.13,51.57,yQ1IA117gKE_50.1323588_51.56601278,How many children do you have?,neutral
yQ1IA117gKE,550.37,553.45,yQ1IA117gKE_550.37499098_553.44951184,"No worries, no worries, just relax and don't be concerned.",empathetic
PDHUNKuC9dM,181.39,185.49,PDHUNKuC9dM_181.38842695_185.48528668,uh we're going to post this segment on our website kov.com slash great day,neutral
vt2NjqXKzyA,3277.24,3282.69,vt2NjqXKzyA_3277.23841239_3282.68558918,and i try to reinforce that well yes it is and you have the answers,neutral
